feature_id,dimension,label,description,condition,total_space,occurrences,probability,odds_1_in,score_bits_x100,exclusive_group,source
hip5_shape_any_rare,visual_shape,Non-diamond shape,"Any irregular HIP-5 shape: square, ellipse, heart, triangle, teardrop, circle, rhombus, or hexagon.",life_gene[31] in 0x01..0x08,256,8,0.03125,32,500,hip5_shape,fullnode/explorer HIP-5 shape rule
hip5_shape_common,visual_shape,Common diamond,Standard HIP-5 diamond shape.,life_gene[31] not in 0x01..0x08,256,248,0.96875,1.03225806452,5,hip5_shape,fullnode/explorer HIP-5 shape rule
hip5_shape_square,visual_shape,Square shape,Exact shape byte for square.,life_gene[31] == 0x01,256,1,0.00390625,256,800,hip5_shape,fullnode/explorer HIP-5 shape rule
hip5_shape_ellipse,visual_shape,Ellipse shape,Exact shape byte for ellipse.,life_gene[31] == 0x02,256,1,0.00390625,256,800,hip5_shape,fullnode/explorer HIP-5 shape rule
hip5_shape_heart,visual_shape,Heart shape,Exact shape byte for heart.,life_gene[31] == 0x03,256,1,0.00390625,256,800,hip5_shape,fullnode/explorer HIP-5 shape rule
hip5_shape_triangle,visual_shape,Triangle shape,Exact shape byte for triangle.,life_gene[31] == 0x04,256,1,0.00390625,256,800,hip5_shape,fullnode/explorer HIP-5 shape rule
hip5_shape_teardrop,visual_shape,Teardrop shape,Exact shape byte for teardrop.,life_gene[31] == 0x05,256,1,0.00390625,256,800,hip5_shape,fullnode/explorer HIP-5 shape rule
hip5_shape_circle,visual_shape,Circle shape,Exact shape byte for circle.,life_gene[31] == 0x06,256,1,0.00390625,256,800,hip5_shape,fullnode/explorer HIP-5 shape rule
hip5_shape_rhombus,visual_shape,Rhombus shape,Exact shape byte for rhombus.,life_gene[31] == 0x07,256,1,0.00390625,256,800,hip5_shape,fullnode/explorer HIP-5 shape rule
hip5_shape_hexagon,visual_shape,Hexagon shape,Exact shape byte for hexagon.,life_gene[31] == 0x08,256,1,0.00390625,256,800,hip5_shape,fullnode/explorer HIP-5 shape rule
hip5_common_bottom_corners_same,visual_color,Edge color,"In the common diamond, the two lower corner facets use the same color index.",shape == common and color_slot[14] == color_slot[15],65536,3968,0.060546875,16.5161290323,405,hip5_common_bottom,hacash.diamonds style + local HIP-5 slot map
hip5_common_bottom_four_same,visual_color,Pure,"In the common diamond, all four lower facets use the same color index.",shape == common and color_slot[12] == color_slot[13] == color_slot[14] == color_slot[15],16777216,3968,0.00023651123046875,4228.12903226,1205,hip5_common_bottom,hacash.diamonds style + local HIP-5 slot map
hip5_common_bottom_left_three_pure,visual_color,Left three pure,"In the common diamond, the four lower facets follow the AAAB pattern.","shape == common and matches_symbol_pattern([color_slot[14], color_slot[12], color_slot[13], color_slot[15]], 'AAAB')",16777216,59520,0.00354766845703125,281.875268817,814,hip5_common_bottom,hacash.diamonds style + local HIP-5 slot map
hip5_common_bottom_left_mix_pure,visual_color,Left mix pure,"In the common diamond, the four lower facets follow the AABA pattern.","shape == common and matches_symbol_pattern([color_slot[14], color_slot[12], color_slot[13], color_slot[15]], 'AABA')",16777216,59520,0.00354766845703125,281.875268817,814,hip5_common_bottom,hacash.diamonds style + local HIP-5 slot map
hip5_common_bottom_right_three_pure,visual_color,Right three pure,"In the common diamond, the four lower facets follow the BAAA pattern.","shape == common and matches_symbol_pattern([color_slot[14], color_slot[12], color_slot[13], color_slot[15]], 'BAAA')",16777216,59520,0.00354766845703125,281.875268817,814,hip5_common_bottom,hacash.diamonds style + local HIP-5 slot map
hip5_common_bottom_right_mix_pure,visual_color,Right mix pure,"In the common diamond, the four lower facets follow the ABAA pattern.","shape == common and matches_symbol_pattern([color_slot[14], color_slot[12], color_slot[13], color_slot[15]], 'ABAA')",16777216,59520,0.00354766845703125,281.875268817,814,hip5_common_bottom,hacash.diamonds style + local HIP-5 slot map
hip5_common_bottom_symmetry,visual_color,Symmetry,"In the common diamond, the four lower facets follow the ABBA pattern.","shape == common and matches_symbol_pattern([color_slot[14], color_slot[12], color_slot[13], color_slot[15]], 'ABBA')",16777216,59520,0.00354766845703125,281.875268817,814,hip5_common_bottom,hacash.diamonds style + local HIP-5 slot map
hip5_common_bottom_half_divide,visual_color,Half divide,"In the common diamond, the four lower facets follow the AABB pattern.","shape == common and matches_symbol_pattern([color_slot[14], color_slot[12], color_slot[13], color_slot[15]], 'AABB')",16777216,59520,0.00354766845703125,281.875268817,814,hip5_common_bottom,hacash.diamonds style + local HIP-5 slot map
hip5_common_bottom_double_mix,visual_color,Double mix,"In the common diamond, the four lower facets follow the ABAB pattern.","shape == common and matches_symbol_pattern([color_slot[14], color_slot[12], color_slot[13], color_slot[15]], 'ABAB')",16777216,59520,0.00354766845703125,281.875268817,814,hip5_common_bottom,hacash.diamonds style + local HIP-5 slot map
hip5_common_bottom_center_color,visual_color,Center color,"In the common diamond, the four lower facets follow the BAAC pattern.","shape == common and matches_symbol_pattern([color_slot[14], color_slot[12], color_slot[13], color_slot[15]], 'BAAC')",16777216,833280,0.0496673583984375,20.1339477727,433,hip5_common_bottom,hacash.diamonds style + local HIP-5 slot map
hip5_special_shape_center_matches_exact_1,visual_color,Special shape with 1 center-color matching facets,Conditioned on a non-diamond shape: exactly 1 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 1,18446744073709551616,7006302246093750000,0.379812405815245654,2.63287871773,140,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_2,visual_color,Special shape with 2 center-color matching facets,Conditioned on a non-diamond shape: exactly 2 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 2,18446744073709551616,3269607714843750000,0.177245789380447972,5.64188296656,250,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_3,visual_color,Special shape with 3 center-color matching facets,Conditioned on a non-diamond shape: exactly 3 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 3,18446744073709551616,944553339843750000,0.0512043391543516363,19.5295948842,429,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_4,visual_color,Special shape with 4 center-color matching facets,Conditioned on a non-diamond shape: exactly 4 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 4,18446744073709551616,188910667968750000,0.0102408678308703273,97.6479744212,661,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_5,visual_color,Special shape with 5 center-color matching facets,Conditioned on a non-diamond shape: exactly 5 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 5,18446744073709551616,27706897968750000,0.00150199394852764800,665.781643781,938,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_6,visual_color,Special shape with 6 center-color matching facets,Conditioned on a non-diamond shape: exactly 6 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 6,18446744073709551616,3078544218750000,0.000166888216503072000,5992.03479403,1255,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_7,visual_color,Special shape with 7 center-color matching facets,Conditioned on a non-diamond shape: exactly 7 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 7,18446744073709551616,263875218750000,0.0000143047042716918857,69907.0725970,1609,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_8,visual_color,Special shape with 8 center-color matching facets,Conditioned on a non-diamond shape: exactly 8 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 8,18446744073709551616,17591681250000,9.53646951446125712e-7,1048606.08896,2000,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_9,visual_color,Special shape with 9 center-color matching facets,Conditioned on a non-diamond shape: exactly 9 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 9,18446744073709551616,912161250000,4.94483604453546666e-8,20223117.4299,2427,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_10,visual_color,Special shape with 10 center-color matching facets,Conditioned on a non-diamond shape: exactly 10 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 10,18446744073709551616,36486450000,1.97793441781418666e-9,505577935.746,2891,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_11,visual_color,Special shape with 11 center-color matching facets,Conditioned on a non-diamond shape: exactly 11 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 11,18446744073709551616,1105650000,5.99374066004298989e-11,16684071879.6,3396,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_12,visual_color,Special shape with 12 center-color matching facets,Conditioned on a non-diamond shape: exactly 12 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 12,18446744073709551616,24570000,1.33194236889844220e-12,750783234583,3945,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_13,visual_color,Special shape with 13 center-color matching facets,Conditioned on a non-diamond shape: exactly 13 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 13,18446744073709551616,378000,2.04914210599760338e-14,4.88009102479e+13,4547,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_14,visual_color,Special shape with 14 center-color matching facets,Conditioned on a non-diamond shape: exactly 14 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 14,18446744073709551616,3600,1.95156391047390798e-16,5.12409557603e+15,5219,hip5_special_center_match,local HIP-5 slot map
hip5_special_shape_center_matches_exact_15,visual_color,Special shape with 15 center-color matching facets,Conditioned on a non-diamond shape: exactly 15 of the other 15 main slots match the center slot.,given shape != common: count(color_slot[1:16] == color_slot[0]) == 15,18446744073709551616,16,8.67361737988403547e-19,1.15292150461e+18,6000,hip5_special_center_match,local HIP-5 slot map
hip5_all_shapes_same_color_count_ge_2,visual_color,2+ facets share one color,At least 2 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 2,18446744073709551616,18446723150919663616,0.999998865773287449,1.00000113423,0,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_3,visual_color,3+ facets share one color,At least 3 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 3,18446744073709551616,14852537814513999616,0.805157688270959224,1.24199273579,31,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_4,visual_color,4+ facets share one color,At least 4 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 4,18446744073709551616,4264069403929935616,0.231155665568490307,4.32608907742,211,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_5,visual_color,5+ facets share one color,At least 5 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 5,18446744073709551616,683890465013355616,0.0370737763954801011,26.9732435491,475,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_6,visual_color,6+ facets share one color,At least 6 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 6,18446744073709551616,81473859802455136,0.00441670678993006348,226.413037488,782,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_7,visual_color,7+ facets share one color,At least 7 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 7,18446744073709551616,7597201034863456,0.000411845093340404075,2428.09739917,1125,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_8,visual_color,8+ facets share one color,At least 8 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 8,18446744073709551616,560538570031456,0.0000303868567695011332,32908.9648062,1501,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_9,visual_color,9+ facets share one color,At least 9 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 9,18446744073709551616,32788134075856,0.00000177744830983945362,562604.265038,1910,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_10,visual_color,10+ facets share one color,At least 10 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 10,18446744073709551616,1514034075856,8.20759517130079108e-8,12183836.7893,2354,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_11,visual_color,11+ facets share one color,At least 11 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 11,18446744073709551616,54576075856,2.95857500044044430e-9,338000557.651,2833,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_12,visual_color,12+ facets share one color,At least 12 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 12,18446744073709551616,1504875856,8.15794836198091566e-11,12257983939.4,3351,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_13,visual_color,13+ facets share one color,At least 13 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 13,18446744073709551616,30675856,1.66294148590262481e-12,601344069216,3913,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_14,visual_color,14+ facets share one color,At least 14 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 14,18446744073709551616,435856,2.36278011045421010e-14,4.23230242872e+13,4527,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_15,visual_color,15+ facets share one color,At least 15 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 15,18446744073709551616,3856,2.09034178855205255e-16,4.78390665812e+15,5209,hip5_same_color_count,local HIP-5 color occupancy
hip5_all_shapes_same_color_count_ge_16,visual_color,16+ facets share one color,At least 16 of the 16 main HIP-5 slots share the same color index.,max_count(color_slot[0:16]) >= 16,18446744073709551616,16,8.67361737988403547e-19,1.15292150461e+18,6000,hip5_same_color_count,local HIP-5 color occupancy
number_repdigit,number,Single repeated digit number,Pattern applied to the HACD mint number.,number_repdigit,16777216,64,0.000003814697265625,262144,1800,number_literal,hacd.fun: numberliteral + local-combinatorics
number_palindrome,number,Palindrome number,Pattern applied to the HACD mint number.,number_palindrome,16777216,11675,0.000695884227752685547,1437.02064240,1049,number_literal,hacd.fun: numberliteral + local-combinatorics
number_serial_ascending,number,Ascending serial number,Pattern applied to the HACD mint number.,number_serial_ascending,16777216,26,0.00000154972076416015625,645277.538462,1930,number_literal,hacd.fun: numberliteral + local-combinatorics
number_serial_descending,number,Descending serial number,Pattern applied to the HACD mint number.,number_serial_descending,16777216,30,0.00000178813934326171875,559240.533333,1909,number_literal,hacd.fun: numberliteral + local-combinatorics
number_tail_4_same_digit,number,4-digit matching tail,The last 4 digits of the HACD number are equal.,len(number) >= 4 and unique(last_4_digits) == 1,16777216,16776,0.000999927520751953125,1000.07248450,997,number_tail,hacd.fun: numberliteral Tail four/seven + local-combinatorics
number_tail_5_same_digit,number,5-digit matching tail,The last 5 digits of the HACD number are equal.,len(number) >= 5 and unique(last_5_digits) == 1,16777216,1676,0.0000998973846435546875,10010.2720764,1329,number_tail,hacd.fun: numberliteral Tail four/seven + local-combinatorics
number_tail_6_same_digit,number,6-digit matching tail,The last 6 digits of the HACD number are equal.,len(number) >= 6 and unique(last_6_digits) == 1,16777216,166,0.00000989437103271484375,101067.566265,1662,number_tail,hacd.fun: numberliteral Tail four/seven + local-combinatorics
number_tail_7_same_digit,number,7-digit matching tail,The last 7 digits of the HACD number are equal.,len(number) >= 7 and unique(last_7_digits) == 1,16777216,16,9.5367431640625e-7,1048576,2000,number_tail,hacd.fun: numberliteral Tail four/seven + local-combinatorics
